STRASSE,HsNr,PLZ,ORT,ANMERKUNG,LATITUDE,LONGITUDE,ALTITUDE,GEOMETRY,한국어
Am Falder,140,40589,Düsseldorf,direkt neben dem Wasserspielplatz im Elbbroichpark - Zufahrt über die Stichstraße neben dem Haus Am Falder 134 bis in den Park - linke Seite,51.173994,6.825581,0,point,엘브로이히 공원 내 물놀이장 바로 옆 - Am Falder 134번지 옆 골목길을 통해 공원으로 진입 - 왼쪽에 위치
Am Nordfriedhof,1,40468,Düsseldorf,Nordfriedhof (der Schlüssel ist bei den Servicekräften erhältlich),51.253859,6.771308,0,point,Nordfriedhof (열쇠는 서비스 직원에게서 받을 수 있음)
Am Südfriedhof,16,40221,Düsseldorf,Südfriedhof Nähe Haupteingang,51.199538,6.755082,0,point,Südfriedhof 근처 메인 입구
Bachstraße,145,40217,Düsseldorf,"Hallenbad ""Schwimm in Bilk""",51.209339,6.775569,0,point,"""Bilk 수영장 """"Schwimm in Bilk"""""""
Belsenplatz,,40545,Düsseldorf,Büdchen Verkehrsinsel mittig des Belsenplatzes ggü Belsenplatz 5,51.231492,6.74729,0,point,Belsenplatz 중앙 교통섬의 매점 - Belsenplatz 5번지 맞은편
Benrather Busbahnhof,,40597,Düsseldorf,"integriert im Straßenbauwerk - unterhalb der ""Hochstraße"" Müchener Straße",51.161731,6.878625,0,point,"도로 구조물 내 - ""Münchener Straße"" 고가도로 아래"
Benrather Marktplatz,,40597,Düsseldorf,ggü HSnr 6 auf der Freifläche,51.163664,6.872987,0,point,6번지 맞은편의 공터
Benrather Marktplatz,,40597,Düsseldorf,unterirdisch - auf der Freifläche,51.163641,6.873382,0,point,지하 공간 - 공터
Benrather Schlossallee,100-106,40597,Düsseldorf,Museum Schloss Benrath,51.161991,6.868812,0,point,Benrath 궁전 박물관
Berger Allee,2,40213,Düsseldorf,Stadtmuseum Düsseldorf,51.222144,6.76983,0,point,뒤셀도르프 시립 박물관
Bertha-von-Suttner-Platz,,40227,Düsseldorf,Weiterbildungszentrum,51.218746,6.796204,0,point,Weiterbildungszentrum(교육 센터)
Bittweg,60,40225,Düsseldorf,Friedhof Stoffeln,51.20222,6.79463,0,point,Stoffeln 묘지
Bonner Straße,121,40589,Düsseldorf,Freizeitpark Niederheid,51.1711,6.84373,0,point,Freizeitpark Niederheid (니더하이트 공원)
Bonner Straße,,40589,Düsseldorf,Kamper Acker - auf der Spitze der Freifläche,51.175263,6.833341,0,point,Kamper Acker - 공터의 끝
Brehmplatz - Graf-Recke-Straße,,40239,Düsseldorf,ggü Graf-Recke-Straße 9 - an der Spitze des Taxistandes,51.238812,6.803581,0,point,Graf-Recke-Straße 9번지 맞은편 - 택시 정류장 끝
Burgplatz,1,40213,Düsseldorf,Akademie-Galerie,51.226643,6.771098,0,point,Akademie-Galerie(아카데미 갤러리)
Burgplatz,3,40213,Düsseldorf,Burgplatz ggü HSnr 12,51.226466,6.772123,0,point,Burgplatz 12번지 맞은편
Burgplatz,,40213,Düsseldorf,Containeranlage neben der Freitreppe - BR Rheinstrom - steht nicht ganzjährig zur Verfügung,51.22771,6.770605,0,point,계단 옆 컨테이너 - BR Rheinstrom - 연중 상시 사용 불가
Burgplatz,,40213,Düsseldorf,Taxistand,51.22701,6.771975,0,point,택시 정류장
Carlsplatz,,40213,Düsseldorf,an der Ecke Bergerstraße - Carlsplatz - ggü HSnr 24,51.223735,6.773072,0,point,Bergerstraße - Carlsplatz 교차로 - 24번지 맞은편
Cecilienallee,,40474,Düsseldorf,Ecke Golzheimer Platz - ggü Cecilienallee 46,51.245628,6.76692,0,point,Golzheimer Platz 코너 - Cecilienallee 46번지 맞은편
Citadellstraße,2B,40213,Düsseldorf,Schulmuseum,51.223044,6.770463,0,point,Schulmuseum(학교 박물관)
Dorotheenstraße,,40235,Düsseldorf,auf dem Dorotheenplatz - zw Flügel - und Fortunastraße,51.227062,6.811845,0,point,Dorotheenplatz 내 - Flügelstraße와 Fortunastraße 사이
Dreherstraße - Am Wallgraben,,40625,Düsseldorf,auf dem Platz Ecke Dreherstraße - Am Wallgraben,51.236718,6.859682,0,point,Dreherstraße - Am Wallgraben 교차로의 광장
Ehrenhof,1,40479,Düsseldorf,Tonhalle im Erdgeschoss bei Aufgang G,51.232156,6.773115,0,point,Tonhalle - G 출입구 옆 1층
Ehrenhof,2,40479,Düsseldorf,NRW-Forum,51.233281,6.772175,0,point,NRW-Forum(노르트라인 베스트팔렌 포럼)
Ehrenhof,04월 05일,40479,Düsseldorf,Museum Kunstpalast - Glasmuseum Hentrich,51.234989,6.772901,0,point,Kunstpalast 미술관 - Glasmuseum Hentrich(유리 박물관 헨트리히)
Emmastraße,,40227,Düsseldorf,Volksgarten,51.208213,6.79901,0,point,Volksgarten(폭스가르텐)
Europaplatz,1,40474,Düsseldorf,Rheinbad - Haltestelle Sportpark Nord-Europaplatz,51.265138,6.733172,0,point,Rheinbad - Sportpark Nord-Europaplatz 정류장
Flinger Passage,,40213,Düsseldorf,Fussgängerpassage - Zugang u a über Heinrich - Heine - Platz - unterirdisch,51.225535,6.77665,0,point,Heinrich-Heine-Platz 지하 보행자 통로
Frankenplatz,,40476,Düsseldorf,direkt neben dem Wasserspielplatz - auf der Grünanlage zwischen Frankenstraße - Roßstraße - Tannenstraße,51.249603,6.776908,0,point,Frankenstraße - Roßstraße - Tannenstraße 사이 녹지대 - 물놀이장 바로 옆
Friedhof Eller - Werstener Feld,,,Düsseldorf,Friedhof Eller an der Kapelle,51.192248,6.832607,0,point,Friedhof Eller 예배당
Friedrichstraße,129 -133,40217,Düsseldorf,Bilker Arcaden im Untergeschoss,51.208616,6.77612,0,point,Bilker Arcaden 지하
Friedrichstraße,152,40217,Düsseldorf,An Bushaltestelle vor dem Real-Parkplatz,51.208722,6.777374,0,point,Real 주차장 앞 버스 정류장
Friedrichstraße,,40217,Düsseldorf,bei Friedrichstraße 40,51.214967,6.776867,0,point,Friedrichstraße 40번지 인근
Fritz-Erler-Straße,21,40595,Düsseldorf,Freizeitstätte Garath - Zentrum plus Garath,51.144925,6.898449,0,point,Freizeitstätte Garath - Zentrum plus Garath
Fürstenplatz,,40215,Düsseldorf,am Parkrand - ggü HSnr 14 - 15 - Übergang zur Morsestraße,51.212973,6.785148,0,point,공원 가장자리 - 14~15번지 맞은편 - Morsestraße 방면
Getrudisplatz,,40229,Düsseldorf,"auf der ""Spitze"" der Grünfläche - ggü Gertrudisplatz 16-18",51.200594,6.838833,0,point,Grünfläche 끝 - Gertrudisplatz 16~18번지 맞은편
Grabbeplatz,4,40213,Düsseldorf,Kunsthalle,51.227672,6.775861,0,point,Kunsthalle(미술관)
Grabbeplatz,5,40213,Düsseldorf,K20 (Kunstsammlung Nordrhein-Westfalen),51.228256,6.776175,0,point,K20 (북라인베스트팔렌 미술 컬렉션)
Grunerstraße - Zoopark,79,40239,Düsseldorf,auf der Parkanlage neben dem Spielplatz - am Eingang der Behindertentoilette befindet sich eine Stufe - steht nicht ganzjährig zur Verfügung,51.243653,6.806612,0,point,놀이터 옆 공원 내 - 장애인 화장실 입구에 계단 있음 - 연중 상시 사용 불가
Hauptbahnhof Düsseldorf,,40210,Düsseldorf,Quergang zwischen Gleis 12 und 13,51.219602,6.794575,0,point,12번과 13번 승강장 사이 통로
Heerdter Landstraße,160,40549,Düsseldorf,Freizeitpark Heerdt,51.232015,6.709392,0,point,Freizeitpark Heerdt(헤어트 공원)
Heidelberger Straße,40,40229,Düsseldorf,direkt neben dem Wasserspielplatz - Eingang ggü dem Abenteuerspielplatz - steht nicht ganzjährig zur Verfügung,51.195901,6.847469,0,point,물놀이장 바로 옆 - 모험 놀이터 맞은편 입구 - 연중 상시 사용 불가
Heidelberger Straße,75,40229,Düsseldorf,Hallenbad Eller,51.197696,6.851645,0,point,Eller 수영장
Heinrich-Heine-Allee,16A,40213,Düsseldorf,Deutsche Oper am Rhein,51.227445,6.7772,0,point,Deutsche Oper am Rhein(라인 강 독일 오페라)
Heinrich-Heine-Allee,,40213,Düsseldorf,Flinger Passage - U-Bahnstation Heinrich-Heine-Allee,51.225535,6.77665,0,point,Flinger Passage - U-Bahn 역 Heinrich-Heine-Allee
Himmelgeister Straße,107E,40225,Düsseldorf,Kunstraum Düsseldorf - Bürgerhaus Salzmannbau - Jazz Schmiede,51.198604,6.780775,0,point,Bürgerhaus Salzmannbau - Jazz Schmiede
In den Großen Banden,58,40225,Düsseldorf,Café im Südpark,51.197665,6.802787,0,point,Südpark 내 카페
Inselstraße,,40479,Düsseldorf,direkt an der Ecke Inselstraße Kaiserstraße im Hofgartengelände,51.232915,6.779018,0,point,Inselstraße - Kaiserstraße 교차로 - Hofgarten 내
Joseph-Beuys-Ufer – Reuterkaserne,,40213,Düsseldorf,"Grünfläche zw Rheinufer - Reuterkaserne - Ecke Ursulinengasse - auf der ""Einfahrt"" zum Rheinufertunnel",51.230112,6.771539,0,point,Grünfläche - Ursulinengasse 코너 - Rheinufertunnel 진입로
Kaiserswerther Straße,380,40474,Düsseldorf,Aquazoo,51.256479,6.750017,0,point,Aquazoo(수족관)
Kaiserswerther Straße,390,40474,Düsseldorf,Cafe im Nordpark,51.256805,6.74872,0,point,Nordpark 내 카페
Kaiserswerther Straße,4,40477,Düsseldorf,Freifläche Ecke Nordstraße - Kaiserswerther Straße - Venloer Straße,51.237417,6.77922,0,point,Freifläche - Nordstraße - Venloer Straße 교차로
Kay-und-Lore-Lorentz-Platz,,40213,Düsseldorf,Kom(m)ödchen,51.227377,6.775493,0,point,Kom(m)ödchen(극장)
Kettwiger Straße,50,40233,Düsseldorf,Freizeitbad Düsselstrand,51.224287,6.810872,0,point,Freizeitbad Düsselstrand(수영장)
Kirchplatz,,40217,Düsseldorf,neben der Kirche an der Friedrichstraße in FR Innenstadt - links hinter dem Taxistand,51.2132,6.776463,0,point,Friedrichstraße의 교회 옆 - 도심 방향 - 택시 정류장 뒤 왼쪽
Kleiner Torfbruch,31,40627,Düsseldorf,Unterbacher See,51.199492,6.886022,0,point,Unterbacher See(호수)
Klemensplatz,7,40489,Düsseldorf,Durchgang Geschäftszeile - Am Kreuzberg,51.301155,6.739952,0,point,Am Kreuzberg - 상가 통로
Kölner Landstraße,1,40591,Düsseldorf,Südpark - Wasserspielplatz - an der Franz-von-Sales-Kirche,51.19777,6.810688,0,point,Südpark - 물놀이장 - Franz-von-Sales-Kirche 인근
Kölner Straße,291B,40227,Düsseldorf,Kölner Straße - Nähe U-Bahn-Haltestelle Ellerstraße - links neben Kölner Straße 291B,51.213512,6.805891,0,point,U-Bahn 역 Ellerstraße 근처 Kölner Straße 291B 옆
Königsallee – Grünstraße,,40212,Düsseldorf,auf der Königsallee in Höhe Hausnr 70 - ggü Einmündung Grünstraße,51.221477,6.779102,0,point,Königsallee - Grünstraße 교차로
Mannesmannufer,1B,40213,Düsseldorf,KIT (Kunst im Tunnel),51.219896,6.766732,0,point,KIT(Kunst im Tunnel)
Mannesmannufer,02월 03일,40213,Düsseldorf,auf der Promenade,51.22163,6.767806,0,point,Rhein 강 산책로
Moselstraße,17,40219,Düsseldorf,ggü Landtag neben dem Parkhaus auf der Grünfläche,51.217805,6.764147,0,point,Landtag 맞은편 - 주차장 옆 녹지대
Münsterstraße,13,40477,Düsseldorf,Hallenbad Münster-Therme,51.24098,6.783241,0,point,Münster-Therme 수영장
Neubrückstraße,16,40213,Düsseldorf,vor der Einfahrt des Parkhauses,51.22832,6.775291,0,point,주차장 입구 앞
Oststraße – Immermannstraße,,40210,Düsseldorf,Ecke Oststraße-Immermannstraße - mittig im Grünstreifen,51.22405,6.787326,0,point,Oststraße - Immermannstraße 교차로 - 중앙 녹지대
Quadenhofstraße,151,40625,Düsseldorf,Friedhof Gerresheim,51.231849,6.866281,0,point,Gerresheim 묘지
Robert-Lehr-Ufer,2,40474,Düsseldorf,neben dem Biergarten der Rheinterrassen - kurz vor der Abfahrtsrampe zu den Parkplätzen am Rheinufer,51.236959,6.770739,0,point,Rheinterrassen 맥주 정원 옆 - Rhein 강 주차장 경사로 직전
S-Bahnhof bei Fritz-Erler-Straße,30,40595,Düsseldorf,neben dem Garather S-Bahnhof - Erdgeschoss im Seitengebäude,51.143761,6.897882,0,point,Garather S-Bahn역 옆 - 1층 별관
Schießstraße,21,40549,Düsseldorf,Friedhof Heerdt an der Kapelle,51.236191,6.719636,0,point,Heerdt 묘지 예배당
Schlesische Straße,2A,40231,Düsseldorf,"an der Bushaltestelle ""Schlesische Straße"" - bei der Kirche",51.208409,6.830835,0,point,"""Schlesische Straße"" 버스 정류장 - 교회 옆"
Schulstraße,4,40213,Düsseldorf,Filmmuseum und Keramikmuseum,51.224062,6.770642,0,point,영화 박물관 및 도자기 박물관
Siegburger Straße,25,40591,Düsseldorf,AKKI-Spielhaus im Südpark,51.204634,6.808455,0,point,Südpark 내 AKKI-Spielhaus
Ständehausstraße,1,40217,Düsseldorf,K21 (Kunstsammlung Nordrhein-Westfalen),51.216528,6.773969,0,point,K21 (북라인베스트팔렌 미술 컬렉션)
Stromstraße,20,40221,Düsseldorf,Rheinturm,51.217916,6.761865,0,point,Rheinturm(라인 강 타워)
Ulenbergstraße,11,40223,Düsseldorf,Freizeitpark Ulenberg,51.195911,6.773923,0,point,Freizeitpark Ulenberg(공원)
Ulmenstraße,25,40476,Düsseldorf,Geschichtswerkstatt,51.24583,6.785656,0,point,Geschichtswerkstatt(역사 작업실)
Uni-Klinik – Moorenstraße,5,40225,Düsseldorf,"am Bussteig 6 ""Uni-Klinikum"" - von Mecumstraße in Moorenstraße rechts ggü dem Taxistand",51.199682,6.789668,0,point,"""Uni-Klinikum"" 버스 승강장 6번 - Mecumstraße에서 Moorenstraße 우측 - 택시 정류장 맞은편"
Universitätsstraße,1,40225,Düsseldorf,Botanischer Garten der Heinrich-Heine-Universiät,51.186888,6.802545,0,point,Heinrich-Heine-Universität 식물원
Unterrather Straße,51,40468,Düsseldorf,Friedhof Unterrath,51.274466,6.784282,0,point,Unterrath 묘지
Vennhauser Allee,,40229,Düsseldorf,Busbahnhof Eller,51.198992,6.846197,0,point,Busbahnhof Eller
Volksgarten - Auf`m Hennekamp,,40227,Düsseldorf,links vom Uhrenfeld,51.208819,6.793543,0,point,Uhrenfeld 왼쪽
Worringer Platz,,40210,Düsseldorf,bei den Straßenbahnhaltestellen,51.223826,6.794892,0,point,트램 정류장 인근
Worringer Platz,,40210,Düsseldorf,Fernbusbahnhof zw den Fernbusfahrspuren - ggü Worringer Straße 101,51.223105,6.795535,0,point,Fernbusbahnhof - Fernbus 경로 사이 - Worringer Straße 101번지 맞은편
